Door1,Door2,Door3,Door4,,,,,,,,
b01b99e99i01,b02b99e99i02,b03b99e99i03,b04b99e99i04,b05b99e99i05,b06b99e99i06,b07b99e99i07,b07b99e99i08,b07b99e99i09,b07b99e99i10,b07b99e99i11,b07b99e99i12
b08b99e99i13,b09b99e99i14,b03b99e99i99,b11b99e99i99,b12b99e99i99,b07b99e99i99,b11b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99
b12b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99
b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99
b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99
b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e03i99,b07b99e02i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99
b07b99e99i99,b07b99e99i99,b07b99e12i99,b07b99e04i99,b07b99e01i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99,b07b99e99i99
,,,,,,,,,,,
,FINISHED?,YES,,,,,,,,,
